epsilon,min_phase_len,use_offline_slack,horizons,horizon_count,valid_horizon_count,total_objective_mean,valid
0.01,1,True,"[60, 100, 150]",3,3,155.0467779286974,True
0.01,1,False,"[60, 100, 150]",3,3,155.0467779286974,True
0.01,5,True,"[60, 100, 150]",3,3,154.92486746168794,True
0.01,5,False,"[60, 100, 150]",3,3,154.92486746168794,True
0.01,10,True,"[60, 100, 150]",3,3,154.89222222696517,True
0.01,10,False,"[60, 100, 150]",3,3,154.89222222696517,True
0.01,20,True,"[60, 100, 150]",3,3,154.87183601861503,True
0.01,20,False,"[60, 100, 150]",3,3,154.87183601861503,True
0.01,25,True,"[60, 100, 150]",3,3,154.86631057638633,True
0.01,25,False,"[60, 100, 150]",3,3,154.86631057638633,True
0.01,30,True,"[60, 100, 150]",3,3,154.86912837895943,True
0.01,30,False,"[60, 100, 150]",3,3,154.86912837895943,True
0.05,1,True,"[60, 100, 150]",3,3,154.96597596117084,True
0.05,1,False,"[60, 100, 150]",3,3,154.96597596117084,True
0.05,5,True,"[60, 100, 150]",3,3,154.96338166658248,True
0.05,5,False,"[60, 100, 150]",3,3,154.96338166658248,True
0.05,10,True,"[60, 100, 150]",3,3,154.94102633452232,True
0.05,10,False,"[60, 100, 150]",3,3,154.94102633452232,True
0.05,20,True,"[60, 100, 150]",3,3,154.88246943531402,True
0.05,20,False,"[60, 100, 150]",3,3,154.88246943531402,True
0.05,25,True,"[60, 100, 150]",3,3,154.8808496880956,True
0.05,25,False,"[60, 100, 150]",3,3,154.8808496880956,True
0.05,30,True,"[60, 100, 150]",3,3,154.87384344950362,True
0.05,30,False,"[60, 100, 150]",3,3,154.87384344950362,True
0.1,1,True,"[60, 100, 150]",3,3,154.95417665815432,True
0.1,1,False,"[60, 100, 150]",3,3,154.95417665815432,True
0.1,5,True,"[60, 100, 150]",3,3,154.95417665815432,True
0.1,5,False,"[60, 100, 150]",3,3,154.95417665815432,True
0.1,10,True,"[60, 100, 150]",3,3,154.95354176059735,True
0.1,10,False,"[60, 100, 150]",3,3,154.95354176059735,True
0.1,20,True,"[60, 100, 150]",3,3,154.91834373139793,True
0.1,20,False,"[60, 100, 150]",3,3,154.91834373139793,True
0.1,25,True,"[60, 100, 150]",3,3,154.90174824505172,True
0.1,25,False,"[60, 100, 150]",3,3,154.90174824505172,True
0.1,30,True,"[60, 100, 150]",3,3,154.8884545439703,True
0.1,30,False,"[60, 100, 150]",3,3,154.8884545439703,True
0.2,1,True,"[60, 100, 150]",3,3,155.07496262929897,True
0.2,1,False,"[60, 100, 150]",3,3,155.07496262929897,True
0.2,5,True,"[60, 100, 150]",3,3,155.07496262929897,True
0.2,5,False,"[60, 100, 150]",3,3,155.07496262929897,True
0.2,10,True,"[60, 100, 150]",3,3,155.07496262929897,True
0.2,10,False,"[60, 100, 150]",3,3,155.07496262929897,True
0.2,20,True,"[60, 100, 150]",3,3,155.07413179547936,True
0.2,20,False,"[60, 100, 150]",3,3,155.07413179547936,True
0.2,25,True,"[60, 100, 150]",3,3,155.05009727972092,True
0.2,25,False,"[60, 100, 150]",3,3,155.05009727972092,True
0.2,30,True,"[60, 100, 150]",3,3,155.04150429110447,True
0.2,30,False,"[60, 100, 150]",3,3,155.04150429110447,True
0.25,1,True,"[60, 100, 150]",3,3,155.23586899863002,True
0.25,1,False,"[60, 100, 150]",3,3,155.23586899863002,True
0.25,5,True,"[60, 100, 150]",3,3,155.23586899863002,True
0.25,5,False,"[60, 100, 150]",3,3,155.23586899863002,True
0.25,10,True,"[60, 100, 150]",3,3,155.23586899863002,True
0.25,10,False,"[60, 100, 150]",3,3,155.23586899863002,True
0.25,20,True,"[60, 100, 150]",3,3,155.2347500012825,True
0.25,20,False,"[60, 100, 150]",3,3,155.2347500012825,True
0.25,25,True,"[60, 100, 150]",3,3,155.2347500012825,True
0.25,25,False,"[60, 100, 150]",3,3,155.2347500012825,True
0.25,30,True,"[60, 100, 150]",3,3,155.22106486271596,True
0.25,30,False,"[60, 100, 150]",3,3,155.22106486271596,True
0.3,1,True,"[60, 100, 150]",3,3,155.55728307082296,True
0.3,1,False,"[60, 100, 150]",3,3,155.55728307082296,True
0.3,5,True,"[60, 100, 150]",3,3,155.55728307082296,True
0.3,5,False,"[60, 100, 150]",3,3,155.55728307082296,True
0.3,10,True,"[60, 100, 150]",3,3,155.55728307082296,True
0.3,10,False,"[60, 100, 150]",3,3,155.55728307082296,True
0.3,20,True,"[60, 100, 150]",3,3,155.5560836753196,True
0.3,20,False,"[60, 100, 150]",3,3,155.5560836753196,True
0.3,25,True,"[60, 100, 150]",3,3,155.55151206072324,True
0.3,25,False,"[60, 100, 150]",3,3,155.55151206072324,True
0.3,30,True,"[60, 100, 150]",3,3,155.55151206072324,True
0.3,30,False,"[60, 100, 150]",3,3,155.55151206072324,True
