pipeline,update_rule,price_exponent,exp_rate,vector_prices,offline_ratio,total_horizon,m_onl,seed_count,total_objective_mean,offline_failures,online_failures,valid
util+primal_dual,polynomial,0.005,,True,0.8,300,60,50,422.6069553167168,0,0,True
util+cost_best_fit,polynomial,0.005,,True,0.8,300,60,50,426.2796000316607,0,0,True
util+primal_dual,polynomial,0.01,,True,0.8,300,60,50,422.5990634126374,0,0,True
util+cost_best_fit,polynomial,0.01,,True,0.8,300,60,50,426.28318063967595,0,0,True
util+primal_dual,polynomial,0.05,,True,0.8,300,60,50,422.6209374018059,0,0,True
util+cost_best_fit,polynomial,0.05,,True,0.8,300,60,50,426.2459375031662,0,0,True
util+primal_dual,polynomial,0.1,,True,0.8,300,60,50,422.8159142210932,0,0,True
util+cost_best_fit,polynomial,0.1,,True,0.8,300,60,50,426.19142546798435,0,0,True
util+primal_dual,polynomial,0.25,,True,0.8,300,60,50,422.8525050129733,0,0,True
util+cost_best_fit,polynomial,0.25,,True,0.8,300,60,50,426.1522611216801,0,0,True
util+primal_dual,polynomial,0.5,,True,0.8,300,60,50,422.8458851879952,0,0,True
util+cost_best_fit,polynomial,0.5,,True,0.8,300,60,50,425.9860545861203,0,0,True
util+primal_dual,polynomial,1.0,,True,0.8,300,60,50,422.85931950613275,0,0,True
util+cost_best_fit,polynomial,1.0,,True,0.8,300,60,50,425.9311798951101,0,0,True
util+primal_dual,polynomial,1.5,,True,0.8,300,60,50,422.75364855524606,0,0,True
util+cost_best_fit,polynomial,1.5,,True,0.8,300,60,50,425.85180194448344,0,0,True
util+primal_dual,polynomial,2.0,,True,0.8,300,60,50,422.76520898106327,0,0,True
util+cost_best_fit,polynomial,2.0,,True,0.8,300,60,50,425.7181125173753,0,0,True
util+primal_dual,polynomial,3.0,,True,0.8,300,60,50,422.6229109668691,0,0,True
util+cost_best_fit,polynomial,3.0,,True,0.8,300,60,50,425.8388091619739,0,0,True
util+primal_dual,polynomial,4.0,,True,0.8,300,60,50,423.09643534355484,0,0,True
util+cost_best_fit,polynomial,4.0,,True,0.8,300,60,50,426.0080714868907,0,0,True
util+primal_dual,polynomial,6.0,,True,0.8,300,60,50,423.092608645244,0,0,True
util+cost_best_fit,polynomial,6.0,,True,0.8,300,60,50,426.20915784793664,0,0,True
util+primal_dual,exponential,,0.5,True,0.8,300,60,50,423.4463873118364,0,0,True
util+cost_best_fit,exponential,,0.5,True,0.8,300,60,50,425.8459000629598,0,0,True
util+primal_dual,exponential,,1.0,True,0.8,300,60,50,422.0619897317039,0,0,True
util+cost_best_fit,exponential,,1.0,True,0.8,300,60,50,424.684322340134,0,0,True
util+primal_dual,exponential,,1.5,True,0.8,300,60,50,422.0153366954314,0,0,True
util+cost_best_fit,exponential,,1.5,True,0.8,300,60,50,423.3977910954394,0,0,True
util+primal_dual,exponential,,2.0,True,0.8,300,60,50,421.16223790458383,0,0,True
util+cost_best_fit,exponential,,2.0,True,0.8,300,60,50,423.37369731619964,0,0,True
util+primal_dual,exponential,,3.0,True,0.8,300,60,50,421.20463665874837,0,0,True
util+cost_best_fit,exponential,,3.0,True,0.8,300,60,50,421.62985781152383,0,0,True
util+primal_dual,exponential,,4.0,True,0.8,300,60,50,421.80304184319,0,0,True
util+cost_best_fit,exponential,,4.0,True,0.8,300,60,50,422.1442571340101,0,0,True
util+primal_dual,exponential,,5.0,True,0.8,300,60,50,424.4320590032657,0,0,True
util+cost_best_fit,exponential,,5.0,True,0.8,300,60,50,424.6965981247774,0,0,True
util+primal_dual,exponential,,6.0,True,0.8,300,60,50,428.131895763858,0,0,True
util+cost_best_fit,exponential,,6.0,True,0.8,300,60,50,428.6964366542634,0,0,True
